timestamp,equity,cash
2026-04-28T12:53:38Z,98045.36,49762.59
2026-04-28T12:58:39Z,98026.28,49762.59
2026-04-28T13:03:39Z,98013.87,49762.59
2026-04-28T13:08:39Z,97889.73,49762.59
2026-04-28T13:13:39Z,97810.16,49762.59
2026-04-28T13:18:39Z,97813.92,49762.59
2026-04-28T13:23:39Z,97840.79,49762.59
2026-04-28T13:28:39Z,97862.73,49762.59
2026-04-28T13:33:39Z,97874.98,49762.59
2026-04-28T13:38:39Z,97990.04,49762.59
2026-04-28T13:43:39Z,98002.78,49762.59
2026-04-28T13:48:39Z,98002.22,49762.59
2026-04-28T13:53:39Z,97926.33,49762.59
2026-04-28T13:58:39Z,97905.96,49762.59
2026-04-28T14:02:18Z,97944.83,49762.59
2026-04-28T14:04:18Z,97878.05,49762.59
